faena,item_codigo,lote_ref,cantidad,costo_unitario,fecha_recepcion
PIL-01,FIL-ACE-01,FAC-1001,8,18000,2026-07-10
PIL-01,FIL-ACE-01,FAC-1188,4,19500,2026-08-20
PIL-01,FIL-AIR-01,FAC-1002,6,31500,2026-07-10
PIL-01,ACE-15W40,FAC-0990,200,4100,2026-06-30
PIL-01,ACE-15W40,FAC-1150,200,4350,2026-08-12
PIL-01,ACE-HID-68,FAC-0991,220,3850,2026-06-30
PIL-01,MAN-HID-01,FAC-1003,3,44000,2026-07-15
PIL-01,MAN-HID-01,FAC-1190,2,47000,2026-08-25
PIL-01,PAS-FRE-01,FAC-1004,4,88000,2026-07-15
PIL-01,NEU-295-01,FAC-1005,8,405000,2026-07-20
PIL-01,COR-DEN-01,FAC-1006,3,26000,2026-07-20
PIL-01,BAT-12V-01,FAC-1007,2,182000,2026-08-01
PIL-01,RET-SEL-01,FAC-1008,3,63000,2026-08-01
PIL-01,GRA-EP2-01,FAC-1009,6,77000,2026-08-05
